message;severity;node;stamp;topics;location
"lookahead distance: 6.000000";"2";"/pure_pursuit";"1551214953.282547036";"/rosout,/twist_cmd";"/home/scott/CarND-Capstone/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcLookaheadDistance:80"
"kappa :0.00933278";"2";"/pure_pursuit";"1551214953.249202770";"/rosout,/twist_cmd";"/home/scott/CarND-Capstone/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcCurvature:100"
"lookahead distance: 6.000000";"2";"/pure_pursuit";"1551214953.249179469";"/rosout,/twist_cmd";"/home/scott/CarND-Capstone/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcLookaheadDistance:80"
"kappa :0.00933278";"2";"/pure_pursuit";"1551214953.215923396";"/rosout,/twist_cmd";"/home/scott/CarND-Capstone/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcCurvature:100"
"lookahead distance: 6.000000";"2";"/pure_pursuit";"1551214953.215881518";"/rosout,/twist_cmd";"/home/scott/CarND-Capstone/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcLookaheadDistance:80"
"Closest Light Wpt 292 Light state UNKNOWN";"4";"/tl_detector";"1551214953.205096960";"/base_waypoints,/current_pose,/image_color,/rosout,/tf,/tf_static,/traffic_waypoint,/vehicle/traffic_lights";"tl_detector.py:image_cb:100"
"kappa :0.00933278";"2";"/pure_pursuit";"1551214953.182582378";"/rosout,/twist_cmd";"/home/scott/CarND-Capstone/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcCurvature:100"
"lookahead distance: 6.000000";"2";"/pure_pursuit";"1551214953.182537384";"/rosout,/twist_cmd";"/home/scott/CarND-Capstone/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcLookaheadDistance:80"
"kappa :0.00933278";"2";"/pure_pursuit";"1551214953.149199509";"/rosout,/twist_cmd";"/home/scott/CarND-Capstone/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcCurvature:100"
"lookahead distance: 6.000000";"2";"/pure_pursuit";"1551214953.149175336";"/rosout,/twist_cmd";"/home/scott/CarND-Capstone/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcLookaheadDistance:80"
"kappa :0.00933278";"2";"/pure_pursuit";"1551214953.115891372";"/rosout,/twist_cmd";"/home/scott/CarND-Capstone/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcCurvature:100"
